age_group,room,activity_code,subcategory,avg_minutes_per_day,avg_hours_per_day,weighted_respondents,unweighted_respondents
18-24,Sleep,010101,Sleeping,571.573744111823,9.526229068530382,10717529189.496117,372
18-24,Sleep,010102,Sleeplessness,4.513647318641999,0.07522745531069998,10717529189.496117,372
18-24,Sleep,010201,"Washing, dressing and grooming oneself",51.815053253164656,0.8635842208860776,10717529189.496117,372
18-24,Sleep,010301,Health-related self care,0.06544797886626592,0.0010907996477710986,10717529189.496117,372
18-24,Sleep,010401,Personal/Private activities,0.049707291666435546,0.0008284548611072591,10717529189.496117,372
18-24,Work,050101,"Work, main job",165.98531550110002,2.7664219250183337,10717529189.496117,372
18-24,Work,050102,"Work, other job(s)",3.3962903905368327,0.05660483984228055,10717529189.496117,372
18-24,Work,050104,Waiting associated with working,0.36509741535094653,0.0060849569225157754,10717529189.496117,372
18-24,Work,050301,"Income-generating hobbies, crafts, and food",0.736774124288378,0.012279568738139632,10717529189.496117,372
18-24,Work,050303,Income-generating services,0.6616336070535597,0.011027226784225994,10717529189.496117,372
18-24,Work,050399,"Other income-generating activities, n.e.c.*",0.35189211906310586,0.005864868651051764,10717529189.496117,372
18-24,Work,050401,Job search activities,2.684934741290955,0.04474891235484925,10717529189.496117,372
18-24,Work,050403,Job interviewing,0.09987424221911356,0.0016645707036518928,10717529189.496117,372
18-24,Education,060101,"Taking class for degree, certification, or licensure",35.73061548515115,0.5955102580858525,10717529189.496117,372
18-24,Education,060103,Waiting associated with taking classes,0.3204134239192383,0.005340223731987306,10717529189.496117,372
18-24,Education,060299,"Education-related extracurricular activities, n.e.c.*",0.3301466115347856,0.0055024435255797595,10717529189.496117,372
18-24,Education,060301,"Research/homework for class for degree, certification, or licensure",33.64916568864898,0.5608194281441496,10717529189.496117,372
18-24,Education,060302,Research/homework for class for pers. interest,0.05451626431604334,0.000908604405267389,10717529189.496117,372
18-24,Education,060399,Research/homework n.e.c.*,2.3631383064493026,0.039385638440821706,10717529189.496117,372
18-24,Education,060401,"Administrative activities: class for degree, certification, or licensure",2.622731019831526,0.04371218366385877,10717529189.496117,372
18-24,Education,060499,"Administrative for education, n.e.c.*",0.6347989226557941,0.010579982044263235,10717529189.496117,372
18-24,Education,069999,"Education, n.e.c.*",0.019083439002770174,0.00031805731671283625,10717529189.496117,372
18-24,Household Activities,020101,Interior cleaning,23.857192121910778,0.39761986869851296,10717529189.496117,372
18-24,Household Activities,020102,Laundry,5.282187841741355,0.08803646402902258,10717529189.496117,372
18-24,Household Activities,020103,"Sewing, repairing, & maintaining textiles",0.13382497990976708,0.0022304163318294513,10717529189.496117,372
18-24,Household Activities,020104,"Storing interior hh items, inc. food",0.4063361234720144,0.0067722687245335735,10717529189.496117,372
18-24,Household Activities,020201,Food and drink preparation,28.667842306076196,0.4777973717679366,10717529189.496117,372
18-24,Household Activities,020202,Food presentation,0.05440404121092889,0.0009067340201821482,10717529189.496117,372
18-24,Household Activities,020203,Kitchen and food clean-up,5.733646501368855,0.09556077502281425,10717529189.496117,372
18-24,Household Activities,020301,"Interior arrangement, decoration, & repairs",1.2831065694975567,0.021385109491625944,10717529189.496117,372
18-24,Household Activities,020302,Building and repairing furniture,0.024853645833217773,0.00041422743055362956,10717529189.496117,372
18-24,Household Activities,020303,Heating and cooling,0.2933709084339415,0.0048895151405656916,10717529189.496117,372
18-24,Household Activities,020401,Exterior cleaning,0.5695741293081742,0.009492902155136236,10717529189.496117,372
18-24,Household Activities,020501,"Lawn, garden, and houseplant care",2.072830593256717,0.034547176554278615,10717529189.496117,372
18-24,Household Activities,020601,Care for animals and pets (not veterinary care),1.6810627627118484,0.02801771271186414,10717529189.496117,372
18-24,Household Activities,020602,Walking / exercising / playing with animals,3.096717370140774,0.0516119561690129,10717529189.496117,372
18-24,Household Activities,020699,"Pet and animal care, n.e.c.*",0.0876189398546709,0.0014603156642445149,10717529189.496117,372
18-24,Household Activities,020701,Vehicle repair and maintenance (by self),1.2517126885946892,0.02086187814324482,10717529189.496117,372
18-24,Household Activities,020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",0.005560617557997424,9.267695929995706e-05,10717529189.496117,372
18-24,Household Activities,020902,Household & personal organization and planning,6.7050416020353145,0.11175069336725524,10717529189.496117,372
18-24,Household Activities,020903,HH & personal mail & messages (except e-mail),0.14942342617715232,0.002490390436285872,10717529189.496117,372
18-24,Household Activities,020904,HH & personal e-mail and messages,0.6921950503318217,0.011536584172197028,10717529189.496117,372
18-24,Household Activities,020905,Home security,0.004449437267329897,7.415728778883161e-05,10717529189.496117,372
18-24,Household Activities,070101,Grocery shopping,4.237021152305378,0.07061701920508963,10717529189.496117,372
18-24,Household Activities,070102,Purchasing gas,0.24451224229122223,0.0040752040381870375,10717529189.496117,372
18-24,Household Activities,070103,Purchasing food (not groceries),1.8958898602899688,0.031598164338166146,10717529189.496117,372
18-24,Household Activities,070104,"Shopping, except groceries, food and gas",7.833804757541107,0.1305634126256851,10717529189.496117,372
18-24,Household Activities,070105,Waiting associated with shopping,0.05793820501039233,0.0009656367501732055,10717529189.496117,372
18-24,Leisure,090103,Using clothing repair and cleaning services,0.09018028491050001,0.0015030047485083335,10717529189.496117,372
18-24,Leisure,090501,Using vehicle maintenance or repair services,0.22237978050461304,0.003706329675076884,10717529189.496117,372
18-24,Leisure,100199,"Using government services, n.e.c.*",0.06987874116981814,0.0011646456861636356,10717529189.496117,372
18-24,Leisure,100201,Civic obligations & participation,0.11398157428142908,0.0018996929046904846,10717529189.496117,372
18-24,Leisure,110101,Eating and drinking,65.25573309961439,1.0875955516602398,10717529189.496117,372
18-24,Leisure,110201,Waiting associated w/eating & drinking,0.42232291249943876,0.00703871520832398,10717529189.496117,372
18-24,Leisure,120101,Socializing and communicating with others,37.58435798222233,0.6264059663703722,10717529189.496117,372
18-24,Leisure,120201,Attending or hosting parties/receptions/ceremonies,1.4758622567718722,0.024597704279531205,10717529189.496117,372
18-24,Leisure,120202,Attending meetings for personal interest (not volunteering),0.02463759586747386,0.000410626597791231,10717529189.496117,372
18-24,Leisure,120301,"Relaxing, thinking",13.71979918817149,0.22866331980285814,10717529189.496117,372
18-24,Leisure,120302,Tobacco and drug use,0.09125141257021199,0.0015208568761701999,10717529189.496117,372
18-24,Leisure,120303,Television and movies (not religious),113.8633143502209,1.8977219058370152,10717529189.496117,372
18-24,Leisure,120305,Listening to the radio,0.22958518047529614,0.003826419674588269,10717529189.496117,372
18-24,Leisure,120306,Listening to/playing music (not radio),4.847780784627583,0.08079634641045971,10717529189.496117,372
18-24,Leisure,120307,Playing games,46.62128412012077,0.7770214020020129,10717529189.496117,372
18-24,Leisure,120308,Computer use for leisure (exc. Games),14.093871979641092,0.23489786632735152,10717529189.496117,372
18-24,Leisure,120309,Arts and crafts as a hobby,2.6049930823273675,0.04341655137212279,10717529189.496117,372
18-24,Leisure,120312,Reading for personal interest,9.835661005605735,0.16392768342676226,10717529189.496117,372
18-24,Leisure,120313,Writing for personal interest,1.0037669848308792,0.01672944974718132,10717529189.496117,372
18-24,Leisure,120401,Attending performing arts,1.4847410051099479,0.024745683418499132,10717529189.496117,372
18-24,Leisure,120402,Attending museums,0.4089329902685933,0.006815549837809889,10717529189.496117,372
18-24,Leisure,120403,Attending movies/film,0.9973661184195051,0.016622768640325084,10717529189.496117,372
18-24,Leisure,120404,Attending gambling establishments,0.16023342139088112,0.002670557023181352,10717529189.496117,372
