TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20240101240219,78,4,47,3,0,5,-1,42,0,0,0
20240101240219,85,4,48,3,0,6,-1,60,0,0,0
20240101240500,62,4,28,3,1,2,2,0,0,0,0
20240101240724,70,1,44,-1,0,2,-1,0,0,0,-1
20240101240750,75,1,33,-1,0,3,-1,0,0,0,-1
20240101240839,85,4,43,3,0,2,-1,60,0,0,0
20240101240876,85,2,33,-1,0,3,-1,60,0,0,-1
20240101241041,80,4,33,2,0,3,-1,60,0,0,0
20240101241041,80,4,34,2,0,4,-1,60,0,0,0
20240101241083,85,4,42,10,0,3,-1,60,0,0,0
20240101241083,80,4,49,7,0,4,-1,60,0,0,0
20240101241083,85,4,39,12,0,5,-1,60,0,0,0
20240101241083,85,4,33,8,0,6,-1,60,0,0,0
20240101241186,80,4,20,3,1,2,2,0,0,0,0
20240101241187,85,4,30,7,1,2,2,0,0,0,0
20240101241216,85,2,33,-1,0,3,-1,60,0,0,-1
20240101241240,80,1,49,-1,0,2,-1,0,0,0,-1
20240101241240,80,1,43,-1,0,3,-1,0,0,0,-1
20240101241240,80,1,43,-1,0,4,-1,0,0,0,-1
20240101241291,85,4,24,20,1,2,2,0,0,0,0
20240101241333,85,4,33,2,0,4,-1,60,0,0,0
20240101241390,79,4,49,2,0,3,-1,0,0,0,0
20240101241390,80,4,43,5,0,4,-1,0,0,0,0
20240101241486,85,2,42,-1,0,3,-1,60,0,0,-1
20240101241623,70,1,43,-1,0,3,-1,0,0,0,-1
20240101241703,80,3,43,-1,0,3,-1,60,0,0,-1
20240101241703,80,3,43,-1,0,4,-1,60,0,0,-1
20240101241895,73,4,33,1,0,4,-1,0,0,0,0
20240101241895,72,4,39,1,0,5,-1,0,0,0,0
20240101241895,73,2,40,-1,0,6,-1,0,0,0,-1
20240101241916,63,1,20,-1,1,2,2,0,0,0,-1
20240101242001,76,4,33,2,0,2,-1,0,0,0,0
20240101242020,75,3,35,-1,0,2,-1,0,0,0,-1
20240101242207,85,4,41,1,0,3,-1,60,0,0,0
20240101242207,85,4,33,1,0,4,-1,60,0,0,0
20240101242207,80,2,41,-1,0,5,-1,60,0,0,-1
20240101242275,70,4,21,2,1,2,2,0,0,0,0
20240101242285,80,4,39,5,0,3,-1,0,0,0,0
20240101242285,80,4,40,8,0,4,-1,60,0,0,0
20240101242291,85,2,44,-1,0,2,-1,0,0,0,-1
20240101242291,80,2,44,-1,0,3,-1,60,0,0,-1
20240101242334,85,4,56,4,0,3,-1,60,0,0,0
20240110230840,74,4,33,5,0,4,-1,0,0,0,0
20240111230012,80,4,33,2,0,2,-1,60,0,0,0
20240111230012,85,4,34,2,0,3,-1,60,0,0,0
20240111230092,85,4,33,5,0,4,-1,60,0,0,0
20240111230132,70,4,47,3,0,4,-1,0,0,0,0
20240111230132,75,4,48,5,0,5,-1,0,0,0,0
20240111230132,85,4,49,5,0,6,-1,60,0,0,0
20240111230646,71,3,44,-1,0,3,-1,42,0,0,-1
20240111230681,67,4,34,2,0,4,-1,0,0,0,0
20240111230696,75,4,24,5,1,2,2,0,0,0,0
20240111230862,59,2,35,-1,0,5,-1,0,0,0,-1
20240111230868,85,4,33,3,0,4,-1,60,0,0,0
20240111230878,72,4,24,3,1,2,2,0,0,0,0
20240111230878,70,4,24,3,1,3,3,0,0,0,0
20240111231008,85,4,34,2,0,3,-1,60,0,0,0
20240111231040,64,2,38,-1,0,2,-1,0,0,0,-1
20240111231071,85,4,33,4,0,3,-1,60,0,0,0
20240111231245,85,4,34,3,0,3,-1,60,0,0,0
20240111231266,78,1,47,-1,0,3,-1,0,0,0,-1
20240111231285,85,4,33,17,0,3,-1,60,0,0,0
20240111231285,85,4,39,5,0,4,-1,60,0,0,0
20240111231380,85,4,40,5,0,3,-1,60,0,0,0
20240111231585,85,4,33,2,0,3,-1,60,0,0,0
20240111231672,85,4,33,10,0,2,-1,60,0,0,0
20240111231672,68,4,38,7,0,3,-1,0,0,0,0
20240111231891,69,4,33,3,0,2,-1,0,0,0,0
20240111231891,73,4,34,5,0,3,-1,0,0,0,0
20240111232042,85,3,34,-1,0,4,-1,60,0,0,-1
20240111232090,75,2,33,-1,0,3,-1,0,0,0,-1
20240111232090,77,2,40,-1,0,4,-1,0,0,0,-1
20240111232238,69,3,44,-1,0,3,-1,0,0,0,-1
20240111232277,85,4,33,3,0,4,-1,60,0,0,0
20240111232295,85,4,30,7,1,2,2,0,0,0,0
20240111232312,78,3,42,-1,0,3,-1,0,0,0,-1
20240111232312,80,4,24,3,1,2,2,0,0,0,0
20240111232313,62,4,43,6,0,5,-1,0,0,0,0
20240111232313,59,4,33,2,0,6,-1,0,0,0,0
20240112230068,80,2,41,-1,0,2,-1,0,0,0,-1
20240112230068,61,2,38,-1,0,3,-1,0,42,0,-1
20240112230116,53,2,47,-1,0,2,-1,0,0,0,-1
20240112230116,67,2,48,-1,0,3,-1,0,0,0,-1
20240112230190,68,1,48,-1,0,3,-1,0,0,0,-1
